ID,ID_NUEVO,ID_VIEJO,ID_PAPER,NG,NM,NS,WG,WM,WS,TYPE,TIPO,DEPTH,pH_field,T,EC_field,pH,OH,CO3,HCO3,Cl,SO4,NO3,PO4,Ca,K,Mg,Na,NH4,EC,SAR,Glypho,RESUL
1,PARPOZO1,PARPOZO1,GW1,5,44,54.7,71,24,39.36,WELL,POZO,,5.55,27.4,26,5.81,0,0,14.4,3.23,1.54,0.09,0.08,0.47,0.9,0.75,0.95,0.26,0.03,0.2,0.2,N
2,PARPOZO5,PARPOZO5,GW5,5,44,9.01,71,24,30.22,WELL,POZO,,6,30.3,95,6.28,0,0,46.6,2.18,1.99,0.1,0.05,3.35,3.43,4.49,1.5,0.24,0.09,0.13,0.2,N
3,PARPOZO6,POZORAMIRO,GW6,5,43,27.76,71,24,0.89,WELL,POZO,,,,,5.98,0,0,21.1,7.06,0.14,0.65,0.06,4.45,0.86,4.19,4.46,0.4,0.1,0.36,0.2,N
4,PARPOZO7,PARPOZO7,GW7,5,44,11.15,71,24,50.02,WELL,POZO,,,,,6.23,0,0,39.8,2.44,4.21,0.11,0.04,4.17,3.92,3.55,1.05,0.59,0.09,0.09,0.2,N
5,PARPOZO8,PARPOZOMALANGA,GW8,5,45,20.06,71,24,38.93,WELL,POZO,,5.98,26,75,6.22,0,0,40.8,2.09,1.52,0.15,0.07,3.78,3.73,4.14,1.11,0.21,0.08,0.09,0.2,N
6,PARSUP1,PARSUP1,W1,5,43,49.74,71,24,26.7,STREAM,QUEBRADA,0,8.15,30.7,45,6.28,0,0,31.2,1.48,18.2,0.47,1.1,1.09,7.74,1.08,1.6,3.5,0.08,0.26,0.2,N
7,PARSUP2,PARSUP2,W2,5,44,10.15,71,24,51.22,WETLAND,ESTERO,0,6.01,23.5,77,6.04,0,0,36,2.62,14.6,0.75,1.16,1.71,6.9,2.35,2.04,4.69,0.1,0.24,2.21,Y
8,PARSUP3,PARSUP3,W3,5,44,47.62,71,24,41.5,STREAM,QUEBRADA,0,6,24.9,55,6.18,0,0,15.1,2.7,13.2,0.28,0.63,1.57,4.59,1.65,1.61,0.57,0.06,0.21,0.2,N
9,PARSUP4,PARSUP4,W4,5,45,5.84,71,24,38.25,STREAM,QUEBRADA,0,6.15,25,66,6.31,0,0,21.8,2.35,12.7,0.19,0.65,2.18,6.34,2.17,1.33,0.86,0.07,0.15,0.26,Y
10,PARSUP5,PARSUP5,W5,5,45,39.29,71,24,32.48,WETLAND,ESTERO,0,6.09,24.6,70,6.22,0,0,34.2,2.27,12.4,0.72,0.9,1.69,9.8,2.85,1.37,0.75,0.07,0.15,1.57,Y
11,PARSUP6,PARSUP6,W6,5,43,25.22,71,24,2.2,WETLAND,ESTERO,0,6.03,26.3,39,6.33,0,0,18.5,1.74,8.83,1.09,4.13,0.82,7.61,1.11,1.04,1.46,0.06,0.18,0.48,Y
12,PARS4,PARS4,S4,5,44,4.7,71,24,54.4,PIT,CALICATA,0.85,4.8,29.6,30,5.61,0,0,10.2,2.79,29.2,0.86,0.8,0.46,0.31,0.5,2.23,1.12,0.02,0.54,0.2,N
13,PARS5,PARS5,S5,5,43,58.16,71,24,25.75,PIT,CALICATA,0.35,4.86,31.1,35,5.49,0,0,15.6,2.35,40.9,1.35,1.38,1.14,1.02,1.21,2.24,0.58,0.03,0.35,0.24,Y
14,PARS8,PARS8,S8,5,43,49.6,71,24,12.5,PIT,CALICATA,1.05,4.65,28.4,36,5.22,0,0,16.8,3.49,1.44,1.13,0.28,0.56,0.63,0.43,2.24,0.35,0.03,0.55,0.2,N
15,PARS9,PARS9,S9,5,43,44.8,71,24,0.1,PIT,CALICATA,1,5.46,33.1,25,5.45,0,0,15,3.66,148,0.65,2.33,0.45,0.48,0.51,1.65,0.3,0.01,0.4,0.43,Y
16,PARS12,PARS12,S12,5,43,55.67,71,24,27.59,PIT,CALICATA,1,4.8,30.1,36,5.46,0,0,15.6,2.7,129,0.72,1.84,2.17,0.9,2.18,1.8,0.12,0.03,0.21,0.82,Y
17,PARS13,PARS13,S13,5,43,53.9,71,24,13.4,PIT,CALICATA,1.25,5.37,29.5,35,5.47,0,0,13.2,1.38,42.8,1.29,0.9,1.14,0.34,1,1.43,0.55,0.02,0.24,0.28,Y
18,PARS14,PARS14,S14,5,43,44.8,71,24,11.1,PIT,CALICATA,1,5.16,30.14,73,5.32,0,0,0.72,2.44,0.23,1.04,0.04,2.03,0.74,0.42,2.55,0.35,0.02,0.43,0.2,N
