ID,Glifo,Abs,Mean,Stdev
1,0,0.061,0.125,0.044
1,0,0.117,0.125,0.044
1,0,0.162,0.125,0.044
1,0,0.171,0.125,0.044
1,0,0.112,0.125,0.044
2,0.33,0.465,0.467,0.026
2,0.33,0.449,0.467,0.026
2,0.33,0.492,0.467,0.026
2,0.33,0.493,0.467,0.026
2,0.33,0.435,0.467,0.026
3,0.66,0.811,0.83,0.042
3,0.66,0.845,0.83,0.042
3,0.66,0.873,0.83,0.042
3,0.66,0.854,0.83,0.042
3,0.66,0.767,0.83,0.042
4,1.25,1.384,1.349,0.044
4,1.25,1.393,1.349,0.044
4,1.25,1.348,1.349,0.044
4,1.25,1.336,1.349,0.044
4,1.25,1.282,1.349,0.044
5,2.5,2.124,2.024,0.088
5,2.5,2.057,2.024,0.088
5,2.5,1.979,2.024,0.088
5,2.5,1.896,2.024,0.088
5,2.5,2.064,2.024,0.088
